index,red1,ir1,red2,ir2
894,164610,139319,174257,142899
895,164620,139317,174278,142927
896,164628,139327,174291,142910
897,164595,139342,174277,142913
898,164418,139297,174380,142958
899,164322,139279,174419,142966
900,164337,139295,174370,142948
901,164346,139299,174386,142954
902,164341,139302,174444,142978
903,164384,139304,174504,142996
904,164421,139307,174551,143008
905,164412,139317,174575,143015
906,164420,139324,174608,143026
907,164448,139319,174618,143021
908,164457,139319,174618,143030
909,164503,139323,174635,143021
910,164515,139325,174637,143025
911,164521,139326,174655,143023
912,164535,139324,174685,143034
913,164549,139325,174716,143043
914,164554,139316,174734,143053
915,164572,139319,174635,143007
916,164575,139321,174291,142886
917,164592,139303,174076,142803
918,164587,139306,174072,142812
919,164595,139299,174071,142812
920,164611,139296,174038,142808
921,164567,139284,174160,142849
922,164426,139255,174233,142881
923,164314,139237,174169,142856
924,164306,139225,174158,142853
925,164340,139245,174235,142888
926,164340,139257,174308,142916
927,164367,139255,174368,142925
928,164420,139254,174409,142947
929,164411,139270,174432,142948
930,164404,139262,174441,142952
931,164438,139295,174454,142950
932,164410,139161,174051,142700
933,164425,139170,174055,142699
934,164425,139162,173905,142625
935,164429,139161,173479,142474
936,164456,139167,173261,142395
937,164468,139156,173314,142416
938,164473,139145,173311,142431
939,164462,139137,173305,142433
940,164338,139109,173478,142480
941,164186,139074,173573,142513
942,164142,139062,173541,142501
943,164134,139070,173531,142501
944,164145,139080,173594,142528
945,164180,139077,173659,142544
946,164240,139079,173727,142569
947,164215,139062,173781,142594
948,164193,139033,173834,142612
949,164203,139039,173885,142632
950,164238,139039,173927,142642
951,164287,139033,173957,142656
952,164299,139042,174018,142677
953,164320,139039,174084,142709
954,164334,139031,174158,142742
955,164334,139038,174248,142769
956,164345,139044,174310,142799
957,164369,139035,174361,142812
958,164388,139049,174268,142771
959,164408,139050,173959,142653
960,164415,139051,173785,142607
961,164439,139054,173832,142625
962,164453,139060,173871,142643
963,164371,139037,173921,142657
964,164236,139001,174062,142716
965,164187,139009,174146,142749
966,164209,139018,174107,142752
967,164219,139024,174143,142772
968,164243,139051,174229,142800
969,164298,139068,174283,142815
970,164255,139055,174330,142830
971,164251,139067,174330,142838
972,164280,139073,174308,142814
973,164313,139078,174257,142788
974,164329,139069,174216,142765
975,164361,139058,174210,142747
976,164369,139035,174204,142737
977,164379,139008,174237,142754
978,164385,139023,174262,142764
979,164385,139026,174278,142760
980,164382,139040,174259,142753
981,164394,139042,174017,142647
982,164409,139054,173733,142536
983,164429,139064,173652,142515
984,164445,139059,173695,142526
985,164392,139053,173760,142559
986,164261,139029,173878,142600
987,164165,139025,173956,142628
988,164151,139014,173920,142607
989,164158,139022,173906,142606
990,164131,139019,173988,142632
991,164155,139017,174036,142658
992,164167,139018,174070,142660
